term,chamber,data_name,sponsor,party,district,roster_id,roster_id_col,LES,BILL_wshare,AIC_wshare,ABC_wshare,PASS_wshare,LAW_wshare,all_bills,all_aic,all_abc,all_pass,all_law,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,num_sponsored_bills,sponsor_pass_rate,sponsor_law_rate,num_cosponsored_bills,LES_rank,LES_nw
2017_2018,House,j. arndt,"arndt, jeni",D,HD-053,322656.0,klarner_id,2.832500237638095,0.03765792031098154,0.03765792031098154,0.042950236966824644,0.04190362167015863,0.042151746286631875,31,31,29,28,21,0,0,0,0,0,31,31,29,28,21,0,0,0,0,0,31,0.9032258064516129,0.6774193548387096,,2,2.8541863854318006
2017_2018,House,m. hamner,"hamner, millie",D,HD-061,309440.0,klarner_id,3.7489991508760587,0.04518950437317784,0.04518950437317784,0.05509478672985782,0.05567195450463933,0.06663990365315134,37,37,37,37,33,1,1,1,1,1,35,35,35,35,31,1,1,1,1,1,37,1.0,0.8918918918918919,,1,3.756272794914426
2017_2018,House,m. foote,"foote, mike",D,HD-012,309307.0,klarner_id,1.794488461390673,0.025510204081632654,0.025510204081632654,0.028139810426540283,0.02693804250224484,0.022079486150140507,21,21,19,18,11,0,0,0,0,0,21,21,19,18,11,0,0,0,0,0,21,0.8571428571428571,0.5238095238095238,,9,1.80846313658832
2017_2018,House,j. becker,"becker, jon",R,HD-065,296036.0,klarner_id,1.1042786258335644,0.017006802721088437,0.017006802721088437,0.013329383886255925,0.01346902125112242,0.018065034122842234,14,14,9,9,9,0,0,0,0,0,14,14,9,9,9,0,0,0,0,0,14,0.6428571428571429,0.6428571428571429,,26,1.1125095530900992
2017_2018,House,t. kraft-tharp,"krafttharp, tracy",D,HD-029,309358.0,klarner_id,2.12216827595381,0.02672497570456754,0.02672497570456754,0.032582938388625596,0.031427716252618976,0.03412284223203533,22,22,22,21,17,0,0,0,0,0,22,22,22,21,17,0,0,0,0,0,22,0.9545454545454546,0.7727272727272727,,5,2.138314078943816
2017_2018,House,m. gray,"gray, matt",D,HD-033,362349.0,klarner_id,1.5552573030729215,0.0206511175898931,0.0206511175898931,0.020734597156398103,0.020951810835079316,0.028101164191087918,17,17,14,14,14,0,0,0,0,0,17,17,14,14,14,0,0,0,0,0,17,0.8235294117647058,0.8235294117647058,,13,1.566827725859453
2017_2018,House,p. lee,"lee, pete",D,HD-018,283519.0,klarner_id,2.359325921177983,0.02793974732750243,0.02793974732750243,0.034063981042654026,0.03442083208620174,0.04415897230028101,22,22,22,22,21,1,1,1,1,1,21,21,21,21,20,0,0,0,0,0,22,1.0,0.9545454545454546,,3,2.2723653410040443
2017_2018,House,l. herod,"herod, leslie",D,HD-008,362287.0,klarner_id,1.5067277772400463,0.019436345966958212,0.019436345966958212,0.02221563981042654,0.022448368751870697,0.02408671216378964,16,16,15,15,12,0,0,0,0,0,16,16,15,15,12,0,0,0,0,0,16,0.9375,0.75,,16,1.5181791797365753
2017_2018,House,j. ginal,"ginal, joann",D,HD-052,309414.0,klarner_id,1.8018550284253627,0.025510204081632654,0.025510204081632654,0.02665876777251185,0.02693804250224484,0.02408671216378964,21,21,18,18,12,0,0,0,0,0,21,21,18,18,12,0,0,0,0,0,21,0.8571428571428571,0.5714285714285714,,8,1.8157621866871674
2017_2018,House,k. becker,"becker, k. c.",D,HD-013,322574.0,klarner_id,1.180808323975121,0.015792031098153546,0.015792031098153546,0.01925355450236967,0.019455252918287938,0.014050582095543959,13,13,13,13,7,0,0,0,0,0,13,13,13,13,7,0,0,0,0,0,13,1.0,0.5384615384615384,,22,1.1900853847868473
2017_2018,House,d. esgar,"esgar, daneya",D,HD-046,322643.0,klarner_id,1.4904514955511363,0.021865889212827987,0.021865889212827987,0.02221563981042654,0.022448368751870697,0.018065034122842234,18,18,15,15,9,0,0,0,0,0,18,18,15,15,9,0,0,0,0,0,18,0.8333333333333334,0.5,,17,1.5020452120341234
2017_2018,House,j. danielson,"danielson, jessie",D,HD-024,322598.0,klarner_id,1.5883402319247895,0.021865889212827987,0.021865889212827987,0.023696682464454975,0.02394492666866208,0.022079486150140507,18,18,16,16,11,0,0,0,0,0,18,18,16,16,11,0,0,0,0,0,18,0.8888888888888888,0.6111111111111112,,12,1.6005716175438913
2017_2018,House,j. melton,"melton, jovan",D,HD-041,309390.0,klarner_id,1.5108798571929234,0.023080660835762875,0.023080660835762875,0.020734597156398103,0.020951810835079316,0.02007226013649137,19,19,14,14,10,0,0,0,0,0,19,19,14,14,10,0,0,0,0,0,19,0.7368421052631579,0.5263157894736842,,15,1.522467951705388
2017_2018,House,d. young,"young, dave",D,HD-050,309409.0,klarner_id,2.2333360206132418,0.02793974732750243,0.02793974732750243,0.032582938388625596,0.03292427416941036,0.0381372942593336,23,23,22,22,19,0,0,0,0,0,23,23,22,22,19,0,0,0,0,0,23,0.9565217391304348,0.8260869565217391,,4,2.250185453927012
2017_2018,House,l. landgraf,"landgraf, lois",R,HD-021,309335.0,klarner_id,0.8626626651419029,0.01336248785228377,0.01336248785228377,0.010367298578199052,0.010475905417539658,0.014050582095543959,11,11,7,7,7,0,0,0,0,0,11,11,7,7,7,0,0,0,0,0,11,0.6363636363636364,0.6363636363636364,,35,0.86909317749521
